Universite Paul Sabatier	Universite Paul Sabatier;;	WOS:000268585700069;;
Department of Energy	U S  Department of Energy Office of Science Basic Energy Sciences;;U S  Department of Energy Office of Science;;U S  Department of Energy Office of Basic Energy Sciences;;U S  Department of Energy;;U  S  Department of Energy;;Department of Energy & Mineral Engineering;;Department of Energy;;	WOS:000374024200007;;WOS:000268617800100;;WOS:000348619000013;;WOS:000306402901002;WOS:000303506203096;;WOS:000292888200019;;WOS:000208080500003;;WOS:000272064000143;WOS:000362142100049;;
Colorado State University Energy Supercluster	Colorado State University Energy Supercluster;;	WOS:000312658400057;;
Slovak Grant Agency APVV	Slovak Grant Agency APVV;;	WOS:000333251500089;;
Japan Society for the Promotion of Science	JSPS KAKENHI Grant;JSPS KAKENHI;JSPS;Japan Society for the Promotion of Science  JSPS;;Japan Society for the Promotion of Science;;	WOS:000392263800023;WOS:000406010000053;WOS:000404437200022;WOS:000406010000051;WOS:000391707100017;WOS:000346764900023;WOS:000336872300007;WOS:000400488301072;WOS:000248621400039;WOS:000208893200008;WOS:000270073700002;WOS:000282833800013;WOS:000325080800005;WOS:000269013100014;;WOS:000390731700043;WOS:000275821600008;;
Key Laboratory for Shanghai Integrated Information Security Management Technology Research	Key Laboratory for Shanghai Integrated Information Security Management Technology Research;;	WOS:000349547300008;;
Fondo Europeo de Desarrollo Regional	GEO-DAS-BC project  Ministerio de Economia y Competitividad and FondoEuropeo de Desarrollo Regional FEDER;;Fondo Europeo de Desarrollo Regional;;	WOS:000337261800002;;WOS:000341499900032;;
Brazilian Electricity Regulatory Agency	Brazilian Electricity Regulatory Agency;;	WOS:000310144200009;;
Royal Society	Royal Society University;;Royal Society of New Zealand;;Royal Society;;	WOS:000352486100001;;WOS:000385323900072;;WOS:000285084100001;WOS:000281178700001;WOS:000277033100017;;
University Natural Science Foundation of Jiangsu Province	University Natural Science Foundation of Jiangsu Province;;Natural Science Foundation of Jiangsu Province;;Natural Science Foundation;;	WOS:000275789401484;;WOS:000375131500001;;WOS:000263584100063;;
Polish National Ministry for Science & Higher Education	Polish National Ministry for Science & Higher Education;;Higher Education;;	WOS:000300643000017;;WOS:000274325100011;;
Universiti Tun Hussein Onn Malaysia  UTHM	Universiti Tun Hussein Onn Malaysia  UTHM;;	WOS:000289612900033;;
Ministero dell'Universita e della Ricerca Italy	Ministero dell'Universita e della Ricerca Italy;;	WOS:000267535800033;;
UFABC	UFABC;;	WOS:000368189000019;;
National Science Fund of Bulgaria Project for Junior Scientists	National Science Fund of Bulgaria Project for Junior Scientists;;	WOS:000320828500023;;
GRF	GRF;;	WOS:000347776300003;;
Bretagne Regional Council	Bretagne Regional Council;;	WOS:000299714900009;;
National Digital Archive Program  NDAP Taiwan	National Digital Archive Program  NDAP Taiwan;;	WOS:000269197300108;;
IT Elektronika company	IT Elektronika company;;	WOS:000264330700004;;
Office of the Secretary of Defense Joint Ground Robotics Enterprise  JGRE	Office of the Secretary of Defense Joint Ground Robotics Enterprise  JGRE;;	WOS:000399929002030;;
Guangdong Innovative Research Team Program Guangdong China	Guangdong Innovative Research Team Program Guangdong China;;CHTE;;	WOS:000344952000004;;WOS:000313514200006;;
Traffic Operations and Safety  TOPS  lab at the University of Wisconsin-Madison	Traffic Operations and Safety  TOPS  lab at the University of Wisconsin-Madison;;ISO;;	WOS:000287296000012;;WOS:000392233300002;;
Operational Program for Competitiveness Program for the support of young researchers PENED	PENED;Operational Program for Competitiveness Program for the support of young researchers PENED;;	WOS:000274520300004;WOS:000339569500005;;
National Iranian Oil Company and Petroleum University of Technology  PUT	Petroleum University of Technology  PUT;National Iranian Oil Company and Petroleum University of Technology  PUT;;	WOS:000308804500084;WOS:000346215600018;;
Rgion Nord/Pas-de-Calais	Rgion Nord/Pas-de-Calais;;	WOS:000345135700002;;
DHS	DHS;;	WOS:000318851500088;;
Doctor Fund of Yanshan University	Doctor Fund of Yanshan University;;	WOS:000259604900252;;
Council of Scientific and Industrial Research  Network project  Tapcoal  Government of India New Delhi	Council of Scientific and Industrial Research  Network project  Tapcoal  Government of India New Delhi;;	WOS:000335400800021;;
NPS Consortium for Robotics and Unmanned Systems Education and Research  CRUSER	NPS Consortium for Robotics and Unmanned Systems Education and Research  CRUSER;;	WOS:000399929002030;;
Northeast Forestry University	Northeast Forestry University;;	WOS:000398415000082;;
Process Science & Technology Center  PSTC  at the University of Texas at Austin	Process Science & Technology Center  PSTC  at the University of Texas at Austin;;CEN;;	WOS:000333947600021;;WOS:000392233300002;;
EC's 7th FP	EC's 7th FP;;	WOS:000299123100018;;
Swiss Paraplegic Foundation	Swiss Paraplegic Foundation;;	WOS:000329267300017;;
THESEUS Program in the RadSpeech project - German Federal Ministry of Economics and Technology	THESEUS Program in the RadSpeech project - German Federal Ministry of Economics and Technology;;	WOS:000336892100004;;
Gold Coast City Council	Gold Coast City Council;;	WOS:000344777900010;;
da Ciencia e da Tecnologia Portugal	Ministerio do Ensino Superior da Ciencia e da Tecnologia Portugal;;da Ciencia e da Tecnologia Portugal;;	WOS:000318998000021;;WOS:000309341303004;;
EPSRC/IMRC	SRC;;MRC;;EPSRC/IMRC;;	WOS:000320938600009;;WOS:000320381400009;;WOS:000314039200028;;
973 Program	National Key Basic Research Program of China  973 program;;National Key Basic Research Program  973 Program  of China;;National Key Basic Research and Development  973  Program of China;;National Grand Fundamental Research 973 Program of China;;National Basic Research Program of China 973 Program;;National Basic Research Program of China  973 Program;;National Basic Research Program  973 Program  of China;;National Basic Research  973  Program of China;;National 973 Program of China;;Key Project of Chinese National Programs for Fundamental Research and Development  973 program;;China Key Basic Research Program  973 Program;;China 973 Program;;973 Program;;	WOS:000389191100004;WOS:000382923400001;;WOS:000293921700010;;WOS:000349878400007;;WOS:000289200900039;;WOS:000328860200017;;WOS:000393162800021;WOS:000365129500015;WOS:000374663800002;WOS:000340498800004;WOS:000380709700003;WOS:000290668400009;;WOS:000368515400002;WOS:000296827400029;;WOS:000311667500003;WOS:000365320300022;;WOS:000405708600090;WOS:000386583000016;;WOS:000330132000012;;WOS:000340490100037;;WOS:000343879800013;;WOS:000314802800082;WOS:000320602100005;WOS:000289126600008;WOS:000360199000039;;
863  Hi-Tech Research and Development program of China	Hi-Tech Research and Development Program of China;;EVE;;863  Hi-Tech Research and Development program of China;;	WOS:000345971600006;;WOS:000295290400003;;WOS:000362903400004;;
National 863 plans projects of China	National 863 plans projects of China;;	WOS:000278557900001;;
University of North Dakota SOFA	University of North Dakota SOFA;;	WOS:000355024600020;;
European Union  European Social Fund -  ESF	European Union European Social Fund;;European Union  European Social Fund;;European Union;;European Social Fund;;European Social;;European Union  European Social Fund - ESF;European Union  European Social Fund -  ESF;European Social Fund  ESF;;	WOS:000331997100008;;WOS:000392620400038;WOS:000328684600013;;WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;WOS:000250383700029;WOS:000264940900001;WOS:000320454200027;WOS:000302506600010;WOS:000343134300035;WOS:000392436600069;WOS:000320072000012;WOS:000345333000009;WOS:000274520300004;WOS:000344737100021;WOS:000302484500007;WOS:000356184900009;WOS:000314176200001;WOS:000302484500003;;WOS:000239980600102;;WOS:000332827800030;WOS:000361767900004;WOS:000345333000009;WOS:000244714800009;WOS:000292192500006;WOS:000320374200006;WOS:000330542800003;;
Universidad Autonoma de San Luis Potosi	Universidad Autonoma de San Luis Potosi;;	WOS:000329413800008;;
Pascal-2 Network of the European Union	Pascal-2 Network of the European Union;;European Union;;	WOS:000286625600004;;WOS:000243498900012;WOS:000272847500007;WOS:000346067900106;WOS:000358947900004;WOS:000369628900007;WOS:000392471800060;WOS:000400488300034;WOS:000376462300005;WOS:000286040100067;WOS:000334114700009;WOS:000348349000057;WOS:000341805500003;WOS:000346358800005;WOS:000359165100025;WOS:000299094900006;WOS:000344737100021;WOS:000337063200002;WOS:000347342300025;WOS:000340321800009;WOS:000302484500007;WOS:000284813000004;WOS:000297568900005;WOS:000312246900016;WOS:000279728900004;WOS:000298055300004;WOS:000302484500003;WOS:000250429600062;WOS:000316531000005;;
UK Technology Strategy Board FABRIC project	Technology Strategy Board;;UK Technology Strategy Board FABRIC project;;	WOS:000301155300135;;WOS:000342898200006;;
Spanish Ministry of Science Education	Spanish Ministry of Science Education;;Spanish Ministry of Science;;	WOS:000326556300010;;WOS:000306342100022;;
Canadian Space Agency under the Science and Operational Applications Research  SOAR  program	Canadian Space Agency under the Science and Operational Applications Research  SOAR  program;;	WOS:000310702600001;;
Directorate of Research Extension and Advisory Services U E T  Lahore-Pakistan	ISO;;Directorate of Research Extension and Advisory Services U E T  Lahore-Pakistan;;	WOS:000392233300002;;WOS:000309728600011;;
National Basic Research Program of China	National Basic Research Program of China '973' Program;;National Basic Research Program of China 973 Program;;National Basic Research Program of China  973 Program;;National Basic Research Program of China;;	WOS:000319408400004;;WOS:000328860200017;;WOS:000393162800021;WOS:000365129500015;WOS:000374663800002;WOS:000340498800004;WOS:000380709700003;WOS:000290668400009;;WOS:000404432100052;WOS:000380685000014;WOS:000388543900061;WOS:000343589900008;WOS:000280649300022;WOS:000302906500001;WOS:000342837700007;WOS:000360693000002;WOS:000297072000015;;
Brazilian Council for Scientific and Technological Development  CNPq	EVE;;CNPq;;Brazilian Council for Scientific and Technological Development  CNPq;;	WOS:000295290400003;;WOS:000246244800198;WOS:000252223600058;WOS:000252223600064;WOS:000278799700208;WOS:000295015304073;WOS:000287530800192;WOS:000277750200017;WOS:000392825700004;WOS:000310184200001;WOS:000346422500048;WOS:000341989800003;WOS:000353104900012;WOS:000365573200007;WOS:000401813700015;WOS:000401925100065;WOS:000401813700016;WOS:000399925500088;WOS:000399925504017;WOS:000386410400058;WOS:000297541201102;WOS:000342818400003;WOS:000369547500001;WOS:000323140700019;WOS:000326664200021;WOS:000377431900015;WOS:000273402700009;WOS:000368591600001;WOS:000296211600008;WOS:000318629400007;WOS:000264544700057;WOS:000263159400002;WOS:000277872700013;WOS:000282003800002;;WOS:000348045000008;WOS:000300603700001;;
Dutch Technology Foundation STW	STW;Dutch Technology Foundation STW;;CHTE;;	WOS:000266719200045;WOS:000309621600007;;WOS:000313514200006;;
National Agency for Promotion of Science and Technology  ANPCYT	National Agency for Promotion of Science and Technology  ANPCYT;;	WOS:000265091900010;;
Ministry of Human Resource and Development Govt  of India New Delhi	Ministry of Human Resource and Development Govt  of India New Delhi;;EVE;;	WOS:000301155800085;;WOS:000295290400003;;
Cancer Institute of the University of Salamanca	Cancer Institute of the University of Salamanca;;	WOS:000268043000001;;
Studienstiftung des Deutschen Volkes	Studienstiftung des Deutschen Volkes;;	WOS:000364488600006;;
Spanish Ministry for Economy and Competitiveness	Spanish Ministry for Economy and Competitiveness;;	WOS:000316091300019;;
National Science Foundation of Taiwan	National Science Foundation of Taiwan;;National Science Foundation;;	WOS:000328732600005;;WOS:000245718100077;WOS:000245981400176;WOS:000242508100098;WOS:000245981400227;WOS:000247062800142;WOS:000257370800001;WOS:000279598100097;WOS:000288973900009;WOS:000303479800007;WOS:000336891800007;WOS:000399141700180;WOS:000348627100004;WOS:000362088200005;WOS:000359170500002;WOS:000365602500003;WOS:000405717600009;WOS:000246337600008;WOS:000279800700052;WOS:000333532100003;WOS:000359569100004;WOS:000337901800006;WOS:000355933700002;WOS:000371690400001;WOS:000279598100007;WOS:000392059700307;WOS:000298735700001;WOS:000304364400004;WOS:000348417000034;WOS:000350782300002;WOS:000364040300036;WOS:000244722500026;WOS:000248536500004;WOS:000304170100006;WOS:000313291300008;WOS:000362512200103;WOS:000268859000007;WOS:000290248600004;WOS:000293387500003;WOS:000346051000022;WOS:000272227900002;WOS:000303933900003;WOS:000292888200019;WOS:000336891700002;WOS:000281923800013;WOS:000269479300006;WOS:000325646200011;WOS:000318109300024;WOS:000284151200003;WOS:000265327500048;WOS:000295401900002;WOS:000270439000001;WOS:000322175800003;WOS:000322175800003;WOS:000274523100004;WOS:000301504500004;WOS:000284275900004;WOS:000208067900005;WOS:000272870500008;WOS:000338711600059;WOS:000296549100012;;
Secretaria Relaciones Exteriores of Mexico	Secretaria Relaciones Exteriores of Mexico;;	WOS:000267158100004;;
Marine Technology Education and Research Center Seoul National University Korea	Marine Technology Education and Research Center Seoul National University Korea;;CEN;;	WOS:000303281600041;;WOS:000392233300002;;
Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia	Ministry for Climate Protection Environment Agriculture Nature Conservation and Consumer Protection of the State of North Rhine-Westphalia;;	WOS:000340096600002;;
Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion  ACIISI  of Canary Islands Autonomic Government	NAC;;ARIAD;;Agencia Canaria de Investigacion Innovacion y Sociedad de la Informacion  ACIISI  of Canary Islands Autonomic Government;;	WOS:000318143200003;;WOS:000394446804110;;WOS:000367298100007;;
Welsh Government Ser Cymru QUOTIENT project	Welsh Government Ser Cymru QUOTIENT project;;	WOS:000373961300024;;
Alberta Ingenuity Centre for Machine Learning	CEN;;Alberta Ingenuity Centre for Machine Learning;;	WOS:000392233300002;;WOS:000208644800003;;
DIU	Direccion de Investigacion de la Universidad de Cuenca  DIUC;;DIU;;	WOS:000372650500001;;WOS:000342218600069;;
CyberSpace Research Institute	CyberSpace Research Institute;;	WOS:000327064900033;;
Catholic University of Brasilia - UCB	Catholic University of Brasilia - UCB;;	WOS:000260855901457;;
Institute for Cyber Enabled Research  iCER	Institute for Cyber Enabled Research  iCER;;	WOS:000321981300032;;
